feature,group_variable,chi_square,p_value,degrees_of_freedom,significant_at_0_05
ca,dataset,854.2611158867121,7.375619607675134e-185,3,True
thal,dataset,572.7671448435508,8.07012317258188e-124,3,True
fbs,dataset,423.66217207574437,1.6572942942722377e-91,3,True
slope,dataset,325.04022646015886,3.7813794242806066e-70,3,True
trestbps,dataset,198.81190457397585,7.618560308432267e-43,3,True
exang,dataset,191.58083106703884,2.780459762342352e-41,3,True
thalch,dataset,191.58083106703884,2.780459762342352e-41,3,True
oldpeak,dataset,187.66070436251394,1.9539730919295882e-40,3,True
chol,dataset,33.98913780981964,1.9916759833492845e-07,3,True
restecg,dataset,3.3170141690486483,0.3452816008602461,3,False
slope,num,62.705703493969004,7.82603997634497e-13,4,True
fbs,num,39.41302529235771,5.723705264268286e-08,4,True
ca,num,26.322529148431265,2.724190394733425e-05,4,True
thal,num,16.96972239701678,0.001959307412770382,4,True
trestbps,num,13.973613960663021,0.007379746965923536,4,True
oldpeak,num,13.784070232469405,0.008017079476410458,4,True
exang,num,8.802311997689984,0.06623521596094684,4,False
thalch,num,8.802311997689984,0.06623521596094684,4,False
chol,num,5.285961924150985,0.25919394633787446,4,False
restecg,num,4.954166152834299,0.29203274851738587,4,False
