row_index,record_id,target_class,split
0,1,0,train
1,2,2,train
2,3,1,test
3,4,0,test
4,5,0,train
5,6,0,train
6,7,3,train
7,8,0,train
8,9,2,train
9,10,1,train
10,11,0,train
11,12,0,train
12,13,2,train
13,14,0,train
14,15,0,train
15,16,0,train
16,17,1,train
17,18,0,train
18,19,0,train
19,20,0,train
20,21,0,test
21,22,0,train
22,23,1,train
23,24,3,train
24,25,4,train
25,26,0,train
26,27,0,train
27,28,0,train
28,29,0,train
29,30,3,train
30,31,0,train
31,32,2,train
32,33,1,train
33,34,0,test
34,35,0,test
35,36,0,train
36,37,3,test
37,38,1,train
38,39,3,test
39,40,0,train
40,41,4,train
41,42,0,train
42,43,0,train
43,44,0,train
44,45,1,train
45,46,4,train
46,47,0,train
47,48,4,train
48,49,0,train
49,50,0,train
50,51,0,train
51,52,0,train
52,53,2,train
53,54,0,train
54,55,1,train
55,56,1,train
56,57,1,train
57,58,1,train
58,59,0,train
59,60,0,test
60,61,2,train
61,62,0,train
62,63,1,train
63,64,0,train
64,65,2,train
65,66,2,test
66,67,1,train
67,68,0,train
68,69,2,train
69,70,1,train
70,71,0,train
71,72,3,train
72,73,1,train
73,74,1,test
74,75,1,train
75,76,0,train
76,77,1,train
77,78,0,train
78,79,0,train
79,80,3,train
80,81,0,train
81,82,0,test
82,83,0,train
83,84,3,train
84,85,0,train
85,86,0,train
86,87,0,train
87,88,0,test
88,89,0,test
89,90,0,test
90,91,0,train
91,92,3,train
92,93,0,test
93,94,0,test
94,95,0,test
95,96,1,train
96,97,2,train
97,98,3,train
98,99,0,train
99,100,0,train
100,101,0,train
101,102,0,test
102,103,0,train
103,104,0,train
104,105,3,train
105,106,0,train
106,107,2,train
107,108,1,train
108,109,2,train
109,110,3,train
110,111,1,train
111,112,1,test
112,113,0,train
113,114,2,train
114,115,2,train
115,116,0,train
116,117,0,train
117,118,0,train
118,119,3,train
119,120,2,train
120,121,3,train
121,122,4,train
122,123,0,train
123,124,3,train
124,125,1,test
125,126,0,train
126,127,3,train
127,128,3,train
128,129,0,train
129,130,0,train
130,131,0,train
131,132,0,test
132,133,0,train
133,134,0,train
134,135,0,train
135,136,0,train
136,137,4,train
137,138,3,train
138,139,1,train
139,140,0,train
140,141,0,train
141,142,1,train
142,143,0,train
143,144,1,train
144,145,0,train
145,146,1,train
146,147,4,test
147,148,0,test
148,149,0,train
149,150,0,train
150,151,0,train
151,152,0,train
152,153,0,train
153,154,4,train
154,155,3,train
155,156,1,train
156,157,1,test
157,158,1,train
158,159,2,test
159,160,0,train
160,161,0,test
161,162,4,train
162,163,0,test
163,164,0,train
164,165,0,train
165,166,0,test
166,167,0,train
167,168,0,train
168,169,1,train
169,170,0,train
170,171,3,train
171,172,0,train
172,173,1,train
173,174,0,train
174,175,4,train
175,176,1,train
176,177,0,train
177,178,1,test
178,179,0,train
179,180,0,test
180,181,3,train
181,182,2,test
182,183,0,train
183,184,0,train
184,185,1,train
185,186,0,test
186,187,0,train
187,188,2,train
188,189,1,train
189,190,2,train
190,191,0,train
191,192,3,train
192,193,1,train
193,194,2,train
194,195,0,test
195,196,3,train
196,197,0,test
197,198,0,train
198,199,0,train
199,200,1,train
200,201,0,train
201,202,0,train
202,203,0,train
203,204,0,train
204,205,0,train
205,206,3,train
206,207,3,train
207,208,3,train
208,209,0,train
209,210,1,train
210,211,0,train
211,212,4,train
212,213,0,train
213,214,3,train
214,215,1,train
215,216,0,train
216,217,0,train
217,218,0,train
218,219,0,train
219,220,0,test
220,221,0,train
221,222,0,train
222,223,0,train
223,224,3,train
224,225,1,train
225,226,0,train
226,227,0,train
227,228,0,train
228,229,3,test
229,230,2,train
230,231,0,train
231,232,2,train
232,233,1,train
233,234,0,train
234,235,0,test
235,236,3,test
236,237,2,train
237,238,1,train
238,239,0,train
239,240,0,train
240,241,0,train
241,242,0,test
242,243,0,train
243,244,2,test
244,245,0,train
245,246,2,train
246,247,2,train
247,248,1,train
248,249,3,train
249,250,0,train
250,251,0,train
251,252,1,train
252,253,0,train
253,254,0,train
254,255,0,train
255,256,0,train
256,257,0,train
257,258,0,train
258,259,0,train
259,260,1,train
260,261,0,train
261,262,3,train
262,263,0,train
263,264,0,train
264,265,4,test
265,266,2,test
266,267,2,test
267,268,2,train
268,269,1,test
269,270,0,test
270,271,1,test
271,272,0,train
272,273,2,train
273,274,0,test
274,275,1,train
275,276,0,train
276,277,0,train
277,278,0,train
278,279,1,train
279,280,0,train
280,281,2,train
281,282,0,train
282,283,3,train
283,284,0,train
284,285,2,train
285,286,4,train
286,287,2,train
287,288,0,train
288,289,0,train
289,290,0,test
290,291,1,train
291,292,0,test
292,293,2,train
293,294,2,train
294,295,1,train
295,296,0,train
296,297,3,train
297,298,1,train
298,299,1,train
299,300,2,test
300,301,3,train
301,302,1,train
302,303,0,train
303,304,0,train
304,305,0,train
305,306,0,test
306,307,0,train
307,308,0,train
308,309,0,test
309,310,0,train
310,311,0,train
311,312,0,train
312,313,0,train
313,314,0,test
314,315,0,train
315,316,0,train
316,317,0,train
317,318,0,train
318,319,0,train
319,320,0,train
320,321,0,train
321,322,0,train
322,323,0,train
323,324,0,train
324,325,0,train
325,326,0,train
326,327,0,test
327,328,0,test
328,329,0,test
329,330,0,test
330,331,0,test
331,332,0,train
332,333,0,train
333,334,0,train
334,335,0,train
335,336,0,train
336,337,0,train
337,338,0,train
338,339,0,train
339,340,0,train
340,341,0,test
341,342,0,train
342,343,0,train
343,344,0,train
344,345,0,test
345,346,0,train
346,347,0,train
347,348,0,train
348,349,0,train
349,350,0,train
350,351,0,train
351,352,0,test
352,353,0,train
353,354,0,test
354,355,0,train
355,356,0,train
356,357,0,test
357,358,0,train
358,359,0,train
359,360,0,train
360,361,0,train
361,362,0,train
362,363,0,train
363,364,0,train
364,365,0,train
365,366,0,train
366,367,0,train
367,368,0,train
368,369,0,train
369,370,0,train
370,371,0,train
371,372,0,train
372,373,0,train
373,374,0,train
374,375,0,test
375,376,0,train
376,377,0,train
377,378,0,train
378,379,0,train
379,380,0,train
380,381,0,test
381,382,0,train
382,383,0,test
383,384,0,train
384,385,0,train
385,386,0,train
386,387,0,train
387,388,0,train
388,389,0,train
389,390,0,train
390,391,0,test
391,392,0,test
392,393,0,train
393,394,0,train
