model_name,report_row,precision,recall,f1-score,support
svm_linear_with_dataset_balanced,class_0,0.8676470588235294,0.7195121951219512,0.7866666666666666,82.0
svm_linear_with_dataset_balanced,class_1,0.5714285714285714,0.37735849056603776,0.45454545454545453,53.0
svm_linear_with_dataset_balanced,class_2,0.18181818181818182,0.2727272727272727,0.21818181818181817,22.0
svm_linear_with_dataset_balanced,class_3,0.16,0.19047619047619047,0.17391304347826086,21.0
svm_linear_with_dataset_balanced,class_4,0.17391304347826086,0.6666666666666666,0.27586206896551724,6.0
svm_linear_with_dataset_balanced,accuracy,0.5054347826086957,0.5054347826086957,0.5054347826086957,0.5054347826086957
svm_linear_with_dataset_balanced,macro avg,0.39096137110970874,0.44534816311162373,0.3818338103675435,184.0
svm_linear_with_dataset_balanced,weighted avg,0.5969361487506155,0.5054347826086957,0.5364397939370236,184.0
svm_rbf_with_dataset_balanced,class_0,0.8840579710144928,0.7439024390243902,0.8079470198675497,82.0
svm_rbf_with_dataset_balanced,class_1,0.5641025641025641,0.41509433962264153,0.4782608695652174,53.0
svm_rbf_with_dataset_balanced,class_2,0.1935483870967742,0.2727272727272727,0.22641509433962265,22.0
svm_rbf_with_dataset_balanced,class_3,0.2571428571428571,0.42857142857142855,0.32142857142857145,21.0
svm_rbf_with_dataset_balanced,class_4,0.1,0.16666666666666666,0.125,6.0
svm_rbf_with_dataset_balanced,accuracy,0.5380434782608695,0.5380434782608695,0.5380434782608695,0.5380434782608695
svm_rbf_with_dataset_balanced,macro avg,0.3997703558713377,0.40539242932247993,0.3918103110401922,184.0
svm_rbf_with_dataset_balanced,weighted avg,0.6122187719388769,0.5380434782608695,0.5656555097367787,184.0
