model_name,max_depth,dataset_mode,class_weight,criterion,min_samples_leaf,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_macro_precision_mean,cv_macro_recall_mean,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,train_macro_f1_mean,elapsed_seconds,overfitting_gap
decision_tree_depth_5_with_dataset_none,5.0,with_dataset,none,gini,2,0.5679444750873323,0.02153887601573493,0.35664356254780333,0.3669392314462564,0.35664356254780333,0.34620836939584987,0.017641421823492216,0.546447499283117,0.4749894727686897,1.0815623999999957,0.12878110337283982
decision_tree_depth_3_with_dataset_balanced,3.0,with_dataset,balanced,gini,2,0.4620426548997978,0.0329497311370671,0.41535842725446004,0.3817898560751343,0.41535842725446004,0.3357719401674214,0.04817108282123888,0.4765241225889304,0.3739620414160482,1.2993773000000033,0.03819010124862682
decision_tree_depth_none_with_dataset_balanced,,with_dataset,balanced,gini,2,0.48376539805111235,0.028077463909368033,0.343428215195657,0.3368272725971443,0.343428215195657,0.3348633257613737,0.042748132030837445,0.49833081869847284,0.8541698748905772,1.0686293000000262,0.5193065491292035
decision_tree_depth_5_with_dataset_balanced,5.0,with_dataset,balanced,gini,2,0.438959367530796,0.04723280051900984,0.34104310919358805,0.38336415955960923,0.34104310919358805,0.32601767034248247,0.04602134138260824,0.48920935717050773,0.47632092776949486,1.3943003999999917,0.1503032574270124
decision_tree_depth_5_without_dataset_balanced,5.0,without_dataset,balanced,gini,2,0.4524636881779739,0.03478841529688158,0.3294351922587217,0.34378265748301046,0.3294351922587217,0.31539604576126035,0.025979519206108758,0.47596920374174456,0.49028591368138275,0.7260650999999996,0.1748898679201224
decision_tree_depth_none_with_dataset_none,,with_dataset,none,gini,2,0.5082551939694797,0.04696244486409222,0.31271189306209823,0.31711420167775917,0.31271189306209823,0.31153020950200994,0.030088588683525406,0.4913378452025938,0.783586160994578,0.7678386000000046,0.47205595149256807
decision_tree_depth_none_without_dataset_balanced,,without_dataset,balanced,gini,2,0.4511123368266226,0.017588757069157232,0.3117401595212813,0.31766347535360284,0.3117401595212813,0.3104086443210822,0.010463246720264302,0.47288270494445894,0.8373877082993395,1.3204551999999978,0.5269790639782572
decision_tree_depth_none_without_dataset_none,,without_dataset,none,gini,2,0.4960011031439603,0.032365705085440434,0.3120899808505828,0.3133779007930772,0.3120899808505828,0.3092561383640035,0.027202029730002193,0.48188318758709,0.7850433350404348,0.9824657000000059,0.47578719667643127
decision_tree_depth_5_without_dataset_none,5.0,without_dataset,none,gini,2,0.5286449715021144,0.042317454812964284,0.3123778711029053,0.30298633474340975,0.3123778711029053,0.3009969979148777,0.03097065686222811,0.4995859515113632,0.4818034390482723,0.9616876999999988,0.18080644113339456
decision_tree_depth_3_without_dataset_none,3.0,without_dataset,none,gini,2,0.5394741680455966,0.03555544011635899,0.3147287398723787,0.3380486436828506,0.3147287398723787,0.2934517606628265,0.016837804258334213,0.4963782535625455,0.33888960694269904,0.7808061000000066,0.04543784627987252
decision_tree_depth_3_without_dataset_balanced,3.0,without_dataset,balanced,gini,2,0.4755193969479684,0.039342456493567594,0.3186721784067886,0.2742653043115106,0.3186721784067886,0.2775423775876762,0.025397088698846472,0.45024839279436346,0.3556455125470627,0.787524000000019,0.07810313495938653
decision_tree_depth_3_with_dataset_none,3.0,with_dataset,none,gini,2,0.5517374517374518,0.04995009377952849,0.2950120886865073,0.2266566375715353,0.2950120886865073,0.2540560097971675,0.015145694301595892,0.4791530605096379,0.2767611206879913,1.3700677000000212,0.022705110890823776
